iter	RMSE
0	100.1108266
1	99.88289058
2	99.65373757
3	99.42299752
4	99.21416099
5	99.01498302
6	98.78869393
7	98.57341076
8	98.36723464
9	98.15203099
10	97.94607163
11	97.74814641
12	97.57668593
13	97.37009463
14	97.17632156
15	96.99264828
16	96.8072445
17	96.65036246
18	96.46972154
19	96.29635354
20	96.12948211
21	95.95463248
22	95.79295851
23	95.64904493
24	95.49733713
25	95.3424766
26	95.18763016
27	95.05260749
28	94.91303041
29	94.76396727
30	94.6146608
31	94.49597836
32	94.3542499
33	94.22343325
34	94.09213949
35	93.95977945
36	93.81441305
37	93.67625451
38	93.55173996
39	93.44556777
40	93.32302482
41	93.20446762
42	93.0672272
43	92.95141746
44	92.82565007
45	92.69816466
46	92.59439712
47	92.48499123
48	92.38673344
49	92.2756585
50	92.16883155
51	92.04528335
52	91.94023122
53	91.82620066
54	91.7191659
55	91.63703937
56	91.54499867
57	91.44913761
58	91.3507338
59	91.25880863
60	91.17189243
61	91.08653279
62	90.99242963
63	90.90360338
64	90.81771783
65	90.7390818
66	90.66102993
67	90.58059646
68	90.50460726
69	90.4212196
70	90.34482132
71	90.27077323
72	90.19743673
73	90.12068919
74	90.0407682
75	89.95439795
76	89.8884729
77	89.81632439
78	89.73948398
79	89.66417094
80	89.59385546
81	89.51776974
82	89.45450935
83	89.38792543
84	89.32326448
85	89.25803029
86	89.19556485
87	89.12910509
88	89.06758031
89	89.01237117
90	88.96089636
91	88.91377158
92	88.85204229
93	88.81336787
94	88.75280306
95	88.69730526
96	88.63740015
97	88.58211368
98	88.5338068
99	88.48352695
100	88.4401603
101	88.39034769
102	88.34207181
103	88.28860566
104	88.24277571
105	88.19479706
106	88.14170483
107	88.09569915
108	88.05109237
109	88.00612256
110	87.96225489
111	87.91937688
112	87.87395719
113	87.82820467
114	87.78604558
115	87.74534954
116	87.70684221
117	87.67182735
118	87.63509375
119	87.59311441
120	87.55278722
121	87.51781958
122	87.48244799
123	87.44903253
124	87.4153597
125	87.38211978
126	87.35238986
127	87.32372838
128	87.28512994
129	87.25631834
130	87.22210723
131	87.19142248
132	87.15936132
133	87.13375595
134	87.1034621
135	87.0761611
136	87.05101627
137	87.01892537
138	86.99262325
139	86.96409411
140	86.93369697
141	86.89881401
142	86.86974137
143	86.8426382
144	86.81379172
145	86.79482557
146	86.76034812
147	86.73365339
148	86.71103241
149	86.68143237
150	86.65956003
151	86.6366774
152	86.61517709
153	86.58496125
154	86.56209963
155	86.53969515
156	86.5167625
157	86.48996339
158	86.46401985
159	86.42843325
160	86.40827296
161	86.38685772
162	86.36318945
163	86.3352659
164	86.3175325
165	86.29475927
166	86.27100237
167	86.25380275
168	86.23084173
169	86.20874325
170	86.18593133
171	86.15783102
172	86.13632925
173	86.12043328
174	86.09826139
175	86.0826769
176	86.06620361
177	86.04259748
178	86.02479519
179	86.00775336
180	85.98324026
181	85.96633779
182	85.95066848
183	85.92529257
184	85.90278392
185	85.87650605
186	85.85735011
187	85.83980574
188	85.82153105
189	85.8023873
190	85.78730253
191	85.76891857
192	85.75063473
193	85.73956091
194	85.71225128
195	85.69029477
196	85.67566094
197	85.65969111
198	85.63837777
199	85.62066802
200	85.60408953
201	85.58968808
202	85.56642606
203	85.55270036
204	85.54148663
205	85.52515765
206	85.51068281
207	85.49366201
208	85.47908862
209	85.45940675
210	85.4442486
211	85.43429129
212	85.41511191
213	85.4040994
214	85.38763639
215	85.3750298
216	85.35835076
217	85.34275712
218	85.32369868
219	85.31230724
220	85.29810134
221	85.27777696
222	85.26466145
223	85.25099894
224	85.22746071
225	85.21316991
226	85.20081625
227	85.1765812
228	85.1588373
229	85.13688377
230	85.12673556
231	85.11381064
232	85.09995842
233	85.08725476
234	85.07376935
235	85.06469435
236	85.0542769
237	85.03893733
238	85.03139308
239	85.02131169
240	85.00027267
241	84.98981526
242	84.98429782
243	84.97408483
244	84.95698377
245	84.9421988
246	84.92661893
247	84.90847954
248	84.89949402
249	84.89467549
250	84.87825659
251	84.86639861
252	84.85166887
253	84.83983209
254	84.83179189
255	84.80017845
256	84.79424211
257	84.77760018
258	84.76486727
259	84.75566817
260	84.7413938
261	84.72696449
262	84.71636683
263	84.7038798
264	84.68807919
265	84.68146218
266	84.67356206
267	84.66191687
268	84.65165189
269	84.64042916
270	84.62229844
271	84.61256667
272	84.60345511
273	84.59626376
274	84.57606517
275	84.56413227
276	84.54661577
277	84.53724127
278	84.53019382
279	84.50363245
280	84.49614901
281	84.48260545
282	84.47627559
283	84.46642768
284	84.46219416
285	84.45036118
286	84.43883171
287	84.42542457
288	84.40545767
289	84.39408191
290	84.38321556
291	84.37418221
292	84.36628077
293	84.35809524
294	84.34135908
295	84.32107024
296	84.30320803
297	84.2910465
298	84.28370738
299	84.27599108
300	84.24822569
301	84.23255444
302	84.21680465
303	84.20750766
304	84.19177443
305	84.17307621
306	84.1545967
307	84.14587278
308	84.13349526
309	84.12307774
310	84.11521839
311	84.09542464
312	84.08185754
313	84.06963911
314	84.05970899
315	84.05221753
316	84.03970993
317	84.02389015
318	84.00997788
319	83.99616627
320	83.97797816
321	83.97260408
322	83.96146217
323	83.94442004
324	83.94097821
325	83.93496978
326	83.92543938
327	83.91562156
328	83.90117484
329	83.88662402
330	83.87825653
331	83.87175863
332	83.86207288
333	83.84793152
334	83.83583095
335	83.81258551
336	83.80501293
337	83.79599682
338	83.79287212
339	83.78960442
340	83.78381844
341	83.77164328
342	83.76329584
343	83.75454122
344	83.74214234
345	83.73031988
346	83.72193229
347	83.70971526
348	83.70403194
349	83.69053973
350	83.6777641
351	83.66172198
352	83.65404745
353	83.63480055
354	83.62729994
355	83.62140526
356	83.60842821
357	83.59906607
358	83.59202584
359	83.58630925
360	83.58063526
361	83.56760352
362	83.56385964
363	83.54920947
364	83.53738115
365	83.52666385
366	83.51683078
367	83.50669153
368	83.49232414
369	83.48315865
370	83.47020312
371	83.46085211
372	83.45054965
373	83.43416382
374	83.42322526
375	83.3964379
376	83.38269416
377	83.37986303
378	83.36977847
379	83.36210554
380	83.35048377
381	83.33668828
382	83.31699147
383	83.30528554
384	83.28958218
385	83.27625102
386	83.26535168
387	83.25598066
388	83.25083284
389	83.24639924
390	83.23922717
391	83.22569888
392	83.21932575
393	83.2019472
394	83.18749145
395	83.17917054
396	83.1694799
397	83.16043095
398	83.14154262
399	83.13334523
400	83.11960243
401	83.10547465
402	83.09435134
403	83.08306646
404	83.07869557
405	83.06622515
406	83.05822757
407	83.05564766
408	83.04939583
409	83.04166861
410	83.02994723
411	83.02596193
412	83.01421249
413	83.00279064
414	82.9908152
415	82.98354631
416	82.98016586
417	82.96637635
418	82.95233648
419	82.9407167
420	82.92839562
421	82.91958951
422	82.90969275
423	82.90487644
424	82.89526204
425	82.8902647
426	82.88293182
427	82.876629
428	82.86873163
429	82.85606868
430	82.85066938
431	82.840214
432	82.83006621
433	82.81802697
434	82.8025419
435	82.79582384
436	82.78715904
437	82.78324946
438	82.76019346
439	82.75639058
440	82.74552539
441	82.74093116
442	82.73098464
443	82.7108386
444	82.70310986
445	82.69766327
446	82.69429792
447	82.68931581
448	82.6853154
449	82.66573947
450	82.65785569
451	82.65191654
452	82.64036132
453	82.63190721
454	82.6240992
455	82.61748517
456	82.60948016
457	82.59952978
458	82.59125367
459	82.58281408
460	82.57571759
461	82.5688806
462	82.5580327
463	82.54409332
464	82.54158553
465	82.52979768
466	82.51980855
467	82.51058621
468	82.49514884
469	82.48874879
470	82.47141819
471	82.46533035
472	82.45273048
473	82.44887206
474	82.44015374
475	82.43580199
476	82.42082664
477	82.41530342
478	82.40837639
479	82.40031193
480	82.38903906
481	82.38232417
482	82.37703559
483	82.36177004
484	82.35693802
485	82.34449397
486	82.33058728
487	82.32422055
488	82.31101884
489	82.29501026
490	82.28412064
491	82.2736115
492	82.26203959
493	82.25551976
494	82.23746947
495	82.23316465
496	82.22350634
497	82.20613606
498	82.18399016
499	82.17792679
500	82.17106106
501	82.16597774
502	82.15935171
503	82.15198231
504	82.13935909
505	82.1324925
506	82.11660015
507	82.10154045
508	82.09772098
509	82.08809576
510	82.08113125
511	82.07252294
512	82.06768675
513	82.06155485
514	82.04799613
515	82.04093164
516	82.03639815
517	82.0251518
518	82.02085917
519	82.01093591
520	82.00675836
521	82.00242307
522	81.9808487
523	81.97285784
524	81.96930358
525	81.95827815
526	81.95336025
527	81.94011263
528	81.93973774
529	81.92793404
530	81.9174316
531	81.91215938
532	81.89820713
533	81.88898632
534	81.88099037
535	81.86823441
536	81.86021968
537	81.8454945
538	81.83314645
539	81.82757503
540	81.81374443
541	81.80813889
542	81.80203152
543	81.78777823
544	81.78185418
545	81.7690749
546	81.76000713
547	81.75586687
548	81.74567294
549	81.73643578
550	81.73004223
551	81.72748622
552	81.71690255
553	81.7100116
554	81.70628286
555	81.69770778
556	81.68608348
557	81.6751481
558	81.65957257
559	81.64574633
560	81.6318491
561	81.62681444
562	81.61225163
563	81.60612766
564	81.59412373
565	81.58687644
566	81.57589902
567	81.56041331
568	81.54895986
569	81.54307478
570	81.54073571
571	81.53849672
572	81.51704147
573	81.50800935
574	81.49151979
575	81.48279779
576	81.47333865
577	81.46008141
578	81.45130029
579	81.44197066
580	81.43113796
581	81.42758901
582	81.41519565
583	81.40815336
584	81.40372246
585	81.39415915
586	81.37015108
587	81.36617078
588	81.36232461
589	81.35727226
590	81.35151711
591	81.33269572
592	81.31818817
593	81.31219025
594	81.30146495
595	81.29146453
596	81.27746788
597	81.26570083
598	81.26059182
599	81.23760075
600	81.23080511
601	81.21820407
602	81.20954709
603	81.19150169
604	81.18133471
605	81.16422448
606	81.15719444
607	81.15051222
608	81.1362223
609	81.12817326
610	81.11160611
611	81.10616894
612	81.09779139
613	81.09249171
614	81.0871226
615	81.07617073
616	81.06259507
617	81.04415711
618	81.03649457
619	81.02494033
620	81.01215624
621	81.00878847
622	80.99742869
623	80.9886035
624	80.98365799
625	80.97617131
626	80.9715845
627	80.95672335
628	80.94544455
629	80.93561349
630	80.92988996
631	80.90883859
632	80.89800619
633	80.88471541
634	80.8749641
635	80.86586091
636	80.85958808
637	80.84804977
638	80.84108988
639	80.83075515
640	80.82180654
641	80.80497259
642	80.79788641
643	80.79605311
644	80.7817626
645	80.7711118
646	80.76290141
647	80.75522041
648	80.74128048
649	80.7360564
650	80.72675463
651	80.71637963
652	80.70616053
653	80.69451332
654	80.6869449
655	80.67250243
656	80.6582535
657	80.64478791
658	80.6382712
659	80.62553292
660	80.61543627
661	80.60473267
662	80.59803418
663	80.59005366
664	80.57476596
665	80.56996226
666	80.55457077
667	80.53754629
668	80.53010158
669	80.52653244
670	80.51920354
671	80.51207171
672	80.49861955
673	80.48845496
674	80.47986692
675	80.46545478
676	80.44362386
677	80.43256342
678	80.42263092
679	80.41269171
680	80.40805585
